Animal Class,Species Name,Common Name,Year,Continent,Countries
Bird,,Canary Islands oystercatcher,1940,Europe,Spain 
Bird,Lalage leucopyga leucopyga,Norfolk triller,1942,Oceania,Australia
Mammal,,Zuniga's dark rice rat,1942,South America,Peru
Mammal,Macropus greyi,Toolache wallaby,1943,Oceania,Australia
Insect,Glaucopsyche xerces,Xerces blue butterfly,1943,North America,United States
Bird,Porzana palmeri,Laysan rail,1944,Oceania,Hawaii
Bird,Gallirallus wakensis,Wake Island rail,1945,Oceania,Wake Island
Reptile,Pseudophilautus zal,,1947,Asia,Sri Lanka
Mammal,Peromyscus mekisturus,Puebla deer mouse,1948,North America,Mexico
Fish,Empetrichthys merriami,Ash Meadows killifish,1948,North America,United States
Bird,,Cyprus dipper,1950,Asia,Cyprus
Bird,Corvus corax,Pied raven,1950,Europe,Denmark
Insect,Plebejus argus masseyi,Silver-studded blue subsp. masseyi,1950,Europe,United Kingdom
Fish,Coregonus fera,,1950,Europe,France
Fish,Coregonus hiemalis,Gravenche,1950,Europe,France
Mammal,Neotoma martinensis,San Martin Island woodrat,1950,North America,Mexico
Reptile,Podarcis lilfordi rodriquezi,Ratas Island lizard,1950,Europe,Spain
Bird,Turdus ravidus,Grand Cayman thrush,1950,North America,Cayman Islands
Crustacean,Afrocyclops pauliani,,1951,Africa,Madagascar
Mammal,,Queen of Sheba's gazelle,1951,Asia,Yemen
Fish,Coregonus johannae,Deepwater cisco (lived in North America),1952,North America,United States
Mammal,Monachus tropicalis,Caribbean monk seal (live in Caribbean Sea),1952,North America,Jamaica
Bird,,Niceforo's pintail,1952,South America,Colombia
Bird,,Negros fruit dove,1953,Asia,Philippines
Mammal,,Ilin Island Cloudrunner,1953,Asia,Philippines
Bird,Gallinula silvestris,Makira woodhen,1953,Oceania,Solomon Islands
Fish,Characodon garmani,Parras characodon,1953,North America,Mexico
Bird,Tympanuchus phasianellus hueyi,New Mexico Sharp-tailed Grouse,1954,North America,Mexico
